workerid,condition,stim_present,stimulus,response,correct,rt
S154,1,0,26,0,0,24
S154,1,0,46,0,1,9
S154,1,0,119,1,1,94
S154,1,0,44,1,1,830
S154,1,0,58,0,0,48
S154,1,0,41,1,1,79
S154,1,0,113,1,1,17
S154,1,0,47,0,1,74
S154,1,0,84,0,0,375
S154,1,0,112,1,1,165
S154,1,0,71,0,0,171
S154,1,0,48,1,0,63
S154,1,0,117,1,0,146
S154,1,0,4,1,1,644
S154,1,0,97,1,1,264
S154,1,0,54,0,1,340
S154,1,0,56,1,0,236
S154,1,0,107,0,0,196
S154,1,0,2,1,1,135
S154,1,0,57,1,0,144
S154,1,0,83,0,0,59
S154,1,0,42,1,0,197
S154,1,0,92,0,0,380
S154,1,0,15,1,0,95
S154,1,0,45,1,1,531
S154,1,0,76,1,1,40
S154,1,0,116,0,0,0
S154,1,0,50,1,1,889
S154,1,0,55,1,1,389
S102,1,0,38,1,1,18182
S102,1,0,85,1,0,4634
S102,1,0,42,1,1,2204
S102,1,0,99,0,1,2963
S102,1,0,71,1,1,2932
S102,1,0,105,0,1,2216
S102,1,0,6,0,1,3702
S102,1,0,26,0,1,10312
S102,1,0,28,1,0,2947
S102,1,0,58,0,1,1874
S102,1,0,78,1,1,2222
S102,1,0,23,0,1,2062
S102,1,0,50,0,0,2741
S102,1,0,46,0,1,1727
S102,1,0,72,1,1,2308
S102,1,0,69,0,1,6423
S102,1,0,89,1,1,1802
S102,1,0,2,0,1,5865
S102,1,0,12,1,1,2618
S102,1,0,63,1,1,3990
S102,1,0,80,0,1,2779
S102,1,0,102,0,1,3956
S102,1,0,64,0,1,8581
S102,1,0,39,0,1,3874
S102,1,0,61,1,1,3422
S102,1,0,15,1,0,10110
S102,1,0,81,1,1,1624
S102,1,0,87,0,1,5415
S102,1,0,94,0,1,2485
S102,1,0,117,0,1,2683
S102,1,0,48,0,1,2342
S102,1,0,22,0,1,1656
S102,1,0,37,0,1,2287
S102,1,0,107,1,1,1376
S102,1,0,113,1,0,3378
S102,1,0,92,0,1,1815
S102,1,0,77,0,1,7305
S102,1,0,54,0,1,2031
S102,1,0,82,1,1,1325
S102,1,0,115,0,1,2510
S102,1,0,45,1,1,1456
S102,1,0,68,0,1,3480
S102,1,0,49,1,1,2845
S102,1,0,75,0,1,5750
S102,1,0,66,0,1,1990
S102,1,0,91,1,1,2157
S102,1,0,8,0,1,1673
S102,1,0,9,0,1,1614
S102,1,0,116,0,1,3688
S102,1,0,76,0,0,21659
S102,1,0,27,1,1,2944
S102,1,0,97,0,1,4518
S102,1,0,56,0,1,1840
S102,1,0,109,0,1,3402
S102,1,0,17,1,1,6581
S102,1,0,86,0,0,5584
S102,1,0,108,0,0,6129
